,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO)
100,2001,Brazil,BRA,Australia,AUS
669,2001,Sudan,SDN,Dem. Rep. of the Congo,COD
815,2001,Tunisia,TUN,Denmark,DNK
2302,2001,Slovakia,SVK,Switzerland,CHE
338,2001,Myanmar,MMR,Bangladesh,BGD
1498,2001,Burundi,BDI,Mali,MLI
471,2001,Bosnia and Herzegovina,BIH,Canada,CAN
1292,2001,Eritrea,ERI,Iraq,IRQ
774,2001,Gambia,GMB,Denmark,DNK
1247,2001,Bulgaria,BGR,Ireland,IRL
1514,2001,Philippines,PHL,Malaysia,MYS
2170,2001,Indonesia,IDN,Sweden,SWE
1252,2001,Dem. Rep. of the Congo,COD,Ireland,IRL
1955,2001,Pakistan,PAK,South Africa,ZAF
1447,2001,Congo,COG,Madagascar,MDG
2409,2001,Dem. Rep. of the Congo,COD,Ukraine,UKR
2306,2001,Turkmenistan,TKM,Switzerland,CHE
1294,2001,Iran (Islamic Rep. of),IRN,Iraq,IRQ
448,2001,Sri Lanka,LKA,Cambodia,KHM
813,2001,Tajikistan,TJK,Denmark,DNK
912,2001,Egypt,EGY,France,FRA
1291,2001,Iraq,IRQ,Iran (Islamic Rep. of),IRN
1542,2001,Iran (Islamic Rep. of),IRN,Morocco,MAR
503,2001,Germany,DEU,Canada,CAN
2004,2001,Angola,AGO,Senegal,SEN
242,2001,Somalia,SOM,Burundi,BDI
562,2001,Poland,POL,Canada,CAN
778,2001,Guatemala,GTM,Denmark,DNK
1487,2001,Pakistan,PAK,Mexico,MEX
411,2001,United Rep. of Tanzania,TZA,Brazil,BRA
1790,2001,Afghanistan,AFG,New Zealand,NZL
1431,2001,Tunisia,TUN,Lebanon,LBN
1350,2001,Rwanda,RWA,Italy,ITA
1589,2001,Tibetan,TIB,Nepal,NPL
2193,2001,Malawi,MWI,Sweden,SWE
1257,2001,Palestinian,PSE,Ireland,IRL
2520,2001,Tajikistan,TJK,Uzbekistan,UZB
2493,2001,Pakistan,PAK,United States of America,USA
974,2001,Niger,NER,France,FRA
360,2001,Cuba,CUB,Bolivia (Plurinational State of),BOL
226,2001,Syrian Arab Rep.,SYR,Austria,AUT
1772,2001,Serbia and Kosovo: S/RES/1244 (1999),SRB,Norway,NOR
1947,2001,Dem. Rep. of the Congo,COD,South Africa,ZAF
636,2001,Viet Nam,VNM,China,CHN
239,2001,Russian Federation,RUS,Azerbaijan,AZE
2468,2001,India,IND,United States of America,USA
1491,2001,El Salvador,SLV,Mexico,MEX
2544,2001,Afghanistan,AFG,Zimbabwe,ZWE
319,2001,Burkina Faso,BFA,Benin,BEN
1995,2001,Syrian Arab Rep.,SYR,Saudi Arabia,SAU
1145,2001,Sierra Leone,SLE,"China, Hong Kong SAR",HKG
2310,2001,Uganda,UGA,Switzerland,CHE
942,2001,Palestinian,PSE,France,FRA
2104,2001,Russian Federation,RUS,Slovakia,SVK
1715,2001,Togo,TGO,Nigeria,NGA
315,2001,Ukraine,UKR,Belgium,BEL
2512,2001,Uganda,UGA,United States of America,USA
1380,2001,Afghanistan,AFG,Kazakhstan,KAZ
185,2001,Bosnia and Herzegovina,BIH,Austria,AUT
245,2001,Algeria,DZA,Belgium,BEL
1166,2001,Palestinian,PSE,Hungary,HUN
1999,2001,Croatia,HRV,Serbia and Kosovo: S/RES/1244 (1999),SRB
1469,2001,Bolivia (Plurinational State of),BOL,Mexico,MEX
2522,2001,Colombia,COL,Venezuela (Bolivarian Republic of),VEN
513,2001,Croatia,HRV,Canada,CAN
138,2001,Libya,LBY,Australia,AUS
2159,2001,Georgia,GEO,Sweden,SWE
630,2001,Somalia,SOM,Chad,TCD
60,2001,Chile,CHL,Argentina,ARG
1239,2001,Angola,AGO,Ireland,IRL
273,2001,Guatemala,GTM,Belgium,BEL
1108,2001,Romania,ROU,Greece,GRC
355,2001,Palestinian,PSE,Belarus,BLR
787,2001,Kuwait,KWT,Denmark,DNK
305,2001,Sierra Leone,SLE,Belgium,BEL
229,2001,Tunisia,TUN,Austria,AUT
366,2001,Ethiopia,ETH,Botswana,BWA
1851,2001,Bulgaria,BGR,Peru,PER
1645,2001,Lebanon,LBN,Netherlands,NLD
2249,2001,Chad,TCD,Switzerland,CHE
1557,2001,Somalia,SOM,Morocco,MAR
2241,2001,Burundi,BDI,Switzerland,CHE
1255,2001,Eritrea,ERI,Ireland,IRL
858,2001,Azerbaijan,AZE,Finland,FIN
2502,2001,Sierra Leone,SLE,United States of America,USA
4174,2002,Sierra Leone,SLE,Libya,LBY
2826,2002,Cameroon,CMR,Belgium,BEL
4647,2002,Stateless,XXA,Philippines,PHL
4468,2002,Cameroon,CMR,Nigeria,NGA
2744,2002,Angola,AGO,Austria,AUT
4140,2002,China,CHN,Kazakhstan,KAZ
5325,2002,Yemen,YEM,United States of America,USA
3023,2002,Argentina,ARG,Canada,CAN
4711,2002,Dem. Rep. of the Congo,COD,Romania,ROU
4148,2002,Eritrea,ERI,Kenya,KEN
5371,2002,Pakistan,PAK,Zimbabwe,ZWE
3637,2002,Russian Federation,RUS,United Kingdom of Great Britain and Northern Ireland,GBR
4682,2002,Angola,AGO,Portugal,PRT
5015,2002,Venezuela (Bolivarian Republic of),VEN,Sweden,SWE
4212,2002,Guinea,GIN,Mauritania,MRT
4882,2002,Armenia,ARM,Slovakia,SVK
4624,2002,El Salvador,SLV,Panama,PAN
4741,2002,Nigeria,NGA,South Africa,ZAF
4375,2002,Cuba,CUB,Netherlands,NLD
3465,2002,Serbia and Kosovo: S/RES/1244 (1999),SRB,Finland,FIN
2776,2002,Sri Lanka,LKA,Austria,AUT
3895,2002,Serbia and Kosovo: S/RES/1244 (1999),SRB,Croatia,HRV
3322,2002,Belarus,BLR,Denmark,DNK
4732,2002,Ghana,GHA,South Africa,ZAF
3840,2002,Iraq,IRQ,Greece,GRC
3715,2002,Hungary,HUN,Germany,DEU
5174,2002,Burundi,BDI,Uganda,UGA
4739,2002,Liberia,LBR,South Africa,ZAF
3509,2002,Ecuador,ECU,France,FRA
4103,2002,Peru,PER,Italy,ITA
4601,2002,Stateless,XXA,New Zealand,NZL
3264,2002,El Salvador,SLV,Cuba,CUB
4555,2002,Ukraine,UKR,Norway,NOR
2762,2002,Gambia,GMB,Austria,AUT
4178,2002,Afghanistan,AFG,Lebanon,LBN
4928,2002,Bosnia and Herzegovina,BIH,Sweden,SWE
3763,2002,Pakistan,PAK,Germany,DEU
4141,2002,Ethiopia,ETH,Kazakhstan,KAZ
4745,2002,Senegal,SEN,South Africa,ZAF
4854,2002,Pakistan,PAK,Spain,ESP
4673,2002,Sierra Leone,SLE,Poland,POL
3831,2002,China,CHN,Greece,GRC
5259,2002,Kyrgyzstan,KGZ,United States of America,USA
4440,2002,United Rep. of Tanzania,TZA,Netherlands,NLD
3042,2002,China,CHN,Canada,CAN
2568,2002,Serbia and Kosovo: S/RES/1244 (1999),SRB,Albania,ALB
3388,2002,Eritrea,ERI,Djibouti,DJI
4636,2002,Poland,POL,Peru,PER
4058,2002,Eritrea,ERI,Israel,ISR
5122,2002,Lao People's Dem. Rep.,LAO,Thailand,THA
4849,2002,Rep. of Moldova,MDA,Spain,ESP
2963,2002,Liberia,LBR,Brazil,BRA
3098,2002,Lithuania,LTU,Canada,CAN
5366,2002,Ethiopia,ETH,Zimbabwe,ZWE
4365,2002,Bosnia and Herzegovina,BIH,Netherlands,NLD
2944,2002,Algeria,DZA,Brazil,BRA
2708,2002,Morocco,MAR,Australia,AUS
2989,2002,Cameroon,CMR,Bulgaria,BGR
3209,2002,Iraq,IRQ,Chile,CHL
2822,2002,Cambodia,KHM,Belgium,BEL
3282,2002,Armenia,ARM,Czechia,CZE
2684,2002,Guinea,GIN,Australia,AUS
3740,2002,Lithuania,LTU,Germany,DEU
5127,2002,Iran (Islamic Rep. of),IRN,Tajikistan,TJK
4803,2002,Ethiopia,ETH,Somalia,SOM
5304,2002,Spain,ESP,United States of America,USA
2844,2002,Hungary,HUN,Belgium,BEL
4107,2002,Serbia and Kosovo: S/RES/1244 (1999),SRB,Italy,ITA
4230,2002,Cuba,CUB,Mexico,MEX
4312,2002,Rwanda,RWA,Morocco,MAR
3174,2002,Cote d'Ivoire,CIV,Central African Rep.,CAF
4700,2002,Sierra Leone,SLE,Portugal,PRT
3690,2002,Cabo Verde,CPV,Germany,DEU
4966,2002,Lao People's Dem. Rep.,LAO,Sweden,SWE
5327,2002,Zimbabwe,ZWE,United States of America,USA
4333,2002,Iran (Islamic Rep. of),IRN,Malta,MLT
4720,2002,Somalia,SOM,Romania,ROU
3220,2002,Dem. Rep. of the Congo,COD,Cameroon,CMR
3634,2002,Poland,POL,United Kingdom of Great Britain and Northern Ireland,GBR
3996,2002,Bulgaria,BGR,Ireland,IRL
4608,2002,Iraq,IRQ,Pakistan,PAK
4358,2002,Azerbaijan,AZE,Netherlands,NLD
5089,2002,Turkmenistan,TKM,Switzerland,CHE
2741,2002,Afghanistan,AFG,Austria,AUT
3854,2002,Syrian Arab Rep.,SYR,Greece,GRC
5517,2003,Dem. People's Rep. of Korea,PRK,Australia,AUS
5903,2003,Guinea,GIN,Canada,CAN
7917,2003,Bangladesh,BGD,Switzerland,CHE
5859,2003,Belgium,BEL,Canada,CAN
8119,2003,Albania,ALB,United States of America,USA
8085,2003,Angola,AGO,Ukraine,UKR
7098,2003,Ethiopia,ETH,Mexico,MEX
6598,2003,Libya,LBY,Germany,DEU
5722,2003,Iraq,IRQ,Benin,BEN
7650,2003,Uzbekistan,UZB,Russian Federation,RUS
8115,2003,Russian Federation,RUS,Uruguay,URY
7659,2003,Eritrea,ERI,Saudi Arabia,SAU
7635,2003,Afghanistan,AFG,Russian Federation,RUS
6428,2003,Dem. Rep. of the Congo,COD,Gambia,GMB
5770,2003,Angola,AGO,Brazil,BRA
5852,2003,Argentina,ARG,Canada,CAN
5960,2003,Saudi Arabia,SAU,Canada,CAN
6082,2003,Honduras,HND,Costa Rica,CRI
6253,2003,Uganda,UGA,Ethiopia,ETH
7068,2003,Iraq,IRQ,Sri Lanka,LKA
5919,2003,Kenya,KEN,Canada,CAN
6031,2003,Dem. Rep. of the Congo,COD,Chile,CHL
7653,2003,Dem. Rep. of the Congo,COD,Rwanda,RWA
7850,2003,Jordan,JOR,Sweden,SWE
6422,2003,Rwanda,RWA,Gabon,GAB
8020,2003,Sri Lanka,LKA,Thailand,THA
7785,2003,Iraq,IRQ,Slovenia,SVN
6414,2003,Central African Rep.,CAF,Gabon,GAB
6078,2003,Stateless,XXA,Colombia,COL
7611,2003,Cameroon,CMR,South Africa,ZAF
5905,2003,Haiti,HTI,Canada,CAN
6826,2003,Rwanda,RWA,India,IND
6569,2003,Ghana,GHA,Germany,DEU
6097,2003,Western Sahara,ESH,Cuba,CUB
7191,2003,Ethiopia,ETH,Malta,MLT
7776,2003,Romania,ROU,Slovakia,SVK
6674,2003,Sudan,SDN,Ghana,GHA
7661,2003,Iraq,IRQ,Saudi Arabia,SAU
6627,2003,Peru,PER,Germany,DEU
7228,2003,Burundi,BDI,Netherlands,NLD
7518,2003,Serbia and Kosovo: S/RES/1244 (1999),SRB,Peru,PER
7451,2003,Eritrea,ERI,New Zealand,NZL
6138,2003,Sudan,SDN,Czechia,CZE
8069,2003,Somalia,SOM,United Arab Emirates,ARE
6801,2003,Dem. Rep. of the Congo,COD,Cote d'Ivoire,CIV
7060,2003,Turkey,TUR,Lebanon,LBN
5428,2003,Stateless,XXA,Egypt,EGY
7993,2003,Algeria,DZA,Syrian Arab Rep.,SYR
6120,2003,Cuba,CUB,Czechia,CZE
7833,2003,Gambia,GMB,Sweden,SWE
7748,2003,Sudan,SDN,Spain,ESP
7482,2003,Afghanistan,AFG,Pakistan,PAK
5402,2003,Sudan,SDN,Angola,AGO
7366,2003,Azerbaijan,AZE,Norway,NOR
6338,2003,Dem. Rep. of the Congo,COD,France,FRA
7818,2003,Bulgaria,BGR,Sweden,SWE
5889,2003,Ethiopia,ETH,Canada,CAN
7353,2003,Sri Lanka,LKA,Nigeria,NGA
7626,2003,Serbia and Kosovo: S/RES/1244 (1999),SRB,South Africa,ZAF
7300,2003,Rwanda,RWA,Netherlands,NLD
7503,2003,El Salvador,SLV,Panama,PAN
5729,2003,Uganda,UGA,Benin,BEN
7163,2003,Iran (Islamic Rep. of),IRN,Morocco,MAR
6507,2003,Yemen,YEM,United Kingdom of Great Britain and Northern Ireland,GBR
6669,2003,Zambia,ZMB,Germany,DEU
7714,2003,Gambia,GMB,Spain,ESP
5395,2003,Congo,COG,Angola,AGO
6860,2003,Palestinian,PSE,Ireland,IRL
7750,2003,Tajikistan,TJK,Spain,ESP
7529,2003,Stateless,XXA,Philippines,PHL
6055,2003,Central African Rep.,CAF,Congo,COG
5553,2003,Turkey,TUR,Australia,AUS
6424,2003,Viet Nam,VNM,Gabon,GAB
8173,2003,"China, Hong Kong SAR",HKG,United States of America,USA
7972,2003,Serbia and Kosovo: S/RES/1244 (1999),SRB,Switzerland,CHE
7197,2003,Libya,LBY,Malta,MLT
7820,2003,China,CHN,Sweden,SWE
7275,2003,Lebanon,LBN,Netherlands,NLD
8142,2003,Chad,TCD,United States of America,USA
6803,2003,Palestinian,PSE,Cote d'Ivoire,CIV
7557,2003,Sudan,SDN,Poland,POL
7889,2003,Slovakia,SVK,Sweden,SWE
7054,2003,Liberia,LBR,Lebanon,LBN
6217,2003,United States of America,USA,Denmark,DNK
5534,2003,Romania,ROU,Australia,AUS
9336,2004,El Salvador,SLV,France,FRA
10659,2004,Bosnia and Herzegovina,BIH,Spain,ESP
8445,2004,India,IND,Australia,AUS
9092,2004,Egypt,EGY,Denmark,DNK
9087,2004,Stateless,XXA,Czechia,CZE
11072,2004,Afghanistan,AFG,United States of America,USA
10595,2004,Zambia,ZMB,South Africa,ZAF
9275,2004,Chad,TCD,France,FRA
9468,2004,Antigua and Barbuda,ATG,Germany,DEU
10616,2004,Sudan,SDN,Saudi Arabia,SAU
10264,2004,United Rep. of Tanzania,TZA,Netherlands,NLD
10430,2004,Viet Nam,VNM,New Zealand,NZL
10108,2004,Eritrea,ERI,Malawi,MWI
10410,2004,India,IND,New Zealand,NZL
8653,2004,Angola,AGO,Benin,BEN
11158,2004,North Macedonia,MKD,United States of America,USA
9375,2004,Somalia,SOM,Gambia,GMB
9342,2004,Viet Nam,VNM,France,FRA
9697,2004,Bangladesh,BGD,Hungary,HUN
10542,2004,Sudan,SDN,Portugal,PRT
8506,2004,Azerbaijan,AZE,Austria,AUT
9690,2004,Bosnia and Herzegovina,BIH,Croatia,HRV
9269,2004,Belarus,BLR,France,FRA
9811,2004,United Kingdom of Great Britain and Northern Ireland,GBR,Ireland,IRL
9401,2004,Gambia,GMB,United Kingdom of Great Britain and Northern Ireland,GBR
9563,2004,Myanmar,MMR,Germany,DEU
10544,2004,Afghanistan,AFG,Qatar,QAT
9517,2004,Ghana,GHA,Germany,DEU
8565,2004,Iran (Islamic Rep. of),IRN,Azerbaijan,AZE
8826,2004,Chile,CHL,Canada,CAN
10662,2004,Congo,COG,Spain,ESP
11227,2004,Nicaragua,NIC,Venezuela (Bolivarian Republic of),VEN
8685,2004,Eritrea,ERI,Burkina Faso,BFA
10392,2004,Zimbabwe,ZWE,Norway,NOR
8805,2004,Antigua and Barbuda,ATG,Canada,CAN
9887,2004,Burkina Faso,BFA,Italy,ITA
10831,2004,Senegal,SEN,Sweden,SWE
8397,2004,Russian Federation,RUS,Argentina,ARG
10774,2004,Dem. Rep. of the Congo,COD,Sweden,SWE
10077,2004,El Salvador,SLV,Mexico,MEX
11160,2004,Mexico,MEX,United States of America,USA
9120,2004,Iraq,IRQ,Denmark,DNK
9794,2004,Belgium,BEL,Ireland,IRL
11164,2004,Mongolia,MNG,United States of America,USA
9009,2004,Liberia,LBR,Colombia,COL
9448,2004,Thailand,THA,United Kingdom of Great Britain and Northern Ireland,GBR
10987,2004,Tajikistan,TJK,Turkmenistan,TKM
10886,2004,Guinea-Bissau,GNB,Switzerland,CHE
8402,2004,Turkey,TUR,Argentina,ARG
10588,2004,Serbia and Kosovo: S/RES/1244 (1999),SRB,South Africa,ZAF
10296,2004,Cameroon,CMR,Nigeria,NGA
10065,2004,Ethiopia,ETH,Mexico,MEX
9936,2004,Turkey,TUR,Italy,ITA
10932,2004,Ukraine,UKR,Switzerland,CHE
9070,2004,Kazakhstan,KAZ,Czechia,CZE
11161,2004,Mali,MLI,United States of America,USA
11276,2004,Togo,TGO,Zimbabwe,ZWE
8530,2004,Iran (Islamic Rep. of),IRN,Austria,AUT
11107,2004,Denmark,DNK,United States of America,USA
10116,2004,Dem. Rep. of the Congo,COD,Morocco,MAR
8773,2004,Iran (Islamic Rep. of),IRN,Bulgaria,BGR
8526,2004,Croatia,HRV,Austria,AUT
10119,2004,Iraq,IRQ,Morocco,MAR
11094,2004,Canada,CAN,United States of America,USA
9382,2004,Azerbaijan,AZE,United Kingdom of Great Britain and Northern Ireland,GBR
9345,2004,Syrian Arab Rep.,SYR,France,FRA
9259,2004,Algeria,DZA,France,FRA
9601,2004,Thailand,THA,Germany,DEU
11205,2004,Tunisia,TUN,United States of America,USA
8901,2004,Nicaragua,NIC,Canada,CAN
9183,2004,Afghanistan,AFG,Ethiopia,ETH
9849,2004,Slovakia,SVK,Ireland,IRL
11181,2004,Russian Federation,RUS,United States of America,USA
11197,2004,Sweden,SWE,United States of America,USA
10689,2004,Morocco,MAR,Spain,ESP
8636,2004,Rwanda,RWA,Belgium,BEL
8963,2004,Cote d'Ivoire,CIV,China,CHN
8470,2004,Pakistan,PAK,Australia,AUS
9374,2004,Sierra Leone,SLE,Gambia,GMB
9124,2004,Dem. People's Rep. of Korea,PRK,Denmark,DNK
9305,2004,Iraq,IRQ,France,FRA
9908,2004,India,IND,Italy,ITA
9163,2004,Ethiopia,ETH,Djibouti,DJI
9308,2004,Kenya,KEN,France,FRA
9532,2004,Israel,ISR,Germany,DEU
13637,2005,Iraq,IRQ,Serbia and Kosovo: S/RES/1244 (1999),SRB
11575,2005,Israel,ISR,Belgium,BEL
12182,2005,Angola,AGO,Finland,FIN
12262,2005,China,CHN,France,FRA
11444,2005,Sierra Leone,SLE,Australia,AUS
11975,2005,Rwanda,RWA,Congo,COG
14135,2005,Chad,TCD,United States of America,USA
12636,2005,Serbia and Kosovo: S/RES/1244 (1999),SRB,Greece,GRC
13097,2005,Indonesia,IDN,Malaysia,MYS
12523,2005,Dem. People's Rep. of Korea,PRK,Germany,DEU
13569,2005,Russian Federation,RUS,Romania,ROU
13783,2005,Bosnia and Herzegovina,BIH,Sweden,SWE
13926,2005,Mauritania,MRT,Switzerland,CHE
13370,2005,Rwanda,RWA,Norway,NOR
13672,2005,Armenia,ARM,Spain,ESP
13536,2005,Belarus,BLR,Portugal,PRT
13375,2005,Viet Nam,VNM,Norway,NOR
12812,2005,Jamaica,JAM,Ireland,IRL
12495,2005,Finland,FIN,Germany,DEU
13703,2005,Sri Lanka,LKA,Spain,ESP
14010,2005,Iraq,IRQ,Tajikistan,TJK
11666,2005,Iraq,IRQ,Bolivia (Plurinational State of),BOL
13749,2005,Iraq,IRQ,Slovenia,SVN
13854,2005,Somalia,SOM,Sweden,SWE
11820,2005,Guyana,GUY,Canada,CAN
13811,2005,Cote d'Ivoire,CIV,Sweden,SWE
14190,2005,Lebanon,LBN,United States of America,USA
12782,2005,Belgium,BEL,Ireland,IRL
13521,2005,Rwanda,RWA,Poland,POL
12004,2005,Afghanistan,AFG,Cuba,CUB
11873,2005,Philippines,PHL,Canada,CAN
11716,2005,Russian Federation,RUS,Brazil,BRA
13205,2005,Gambia,GMB,Netherlands,NLD
12760,2005,Eritrea,ERI,India,IND
13405,2005,Czechia,CZE,New Zealand,NZL
11416,2005,Dem. People's Rep. of Korea,PRK,Australia,AUS
12736,2005,Angola,AGO,Cote d'Ivoire,CIV
12951,2005,China,CHN,Japan,JPN
12011,2005,Western Sahara,ESH,Cuba,CUB
11655,2005,Sudan,SDN,Burkina Faso,BFA
11407,2005,India,IND,Australia,AUS
11614,2005,Uzbekistan,UZB,Belgium,BEL
12836,2005,South Africa,ZAF,Ireland,IRL
14045,2005,Iraq,IRQ,Turkey,TUR
13198,2005,Czechia,CZE,Netherlands,NLD
14205,2005,Namibia,NAM,United States of America,USA
13641,2005,Burundi,BDI,Senegal,SEN
12068,2005,Syrian Arab Rep.,SYR,Czechia,CZE
13157,2005,Sudan,SDN,Malta,MLT
13391,2005,Zimbabwe,ZWE,Norway,NOR
11633,2005,Iraq,IRQ,Benin,BEN
14071,2005,Angola,AGO,Ukraine,UKR
13683,2005,Cuba,CUB,Spain,ESP
12307,2005,Rep. of Moldova,MDA,France,FRA
11870,2005,Panama,PAN,Canada,CAN
11505,2005,Nigeria,NGA,Austria,AUT
14069,2005,Sudan,SDN,Uganda,UGA
12302,2005,Lithuania,LTU,France,FRA
11670,2005,Burundi,BDI,Botswana,BWA
11578,2005,Kyrgyzstan,KGZ,Belgium,BEL
14080,2005,Ethiopia,ETH,Ukraine,UKR
14256,2005,Zimbabwe,ZWE,United States of America,USA
13203,2005,Ethiopia,ETH,Netherlands,NLD
13593,2005,Kyrgyzstan,KGZ,South Africa,ZAF
11645,2005,Burundi,BDI,Burkina Faso,BFA
11814,2005,Ghana,GHA,Canada,CAN
13794,2005,Costa Rica,CRI,Sweden,SWE
11554,2005,Dem. Rep. of the Congo,COD,Belgium,BEL
12242,2005,Stateless,XXA,Finland,FIN
11889,2005,Sudan,SDN,Canada,CAN
12679,2005,Angola,AGO,Hungary,HUN
11642,2005,Myanmar,MMR,Bangladesh,BGD
13077,2005,El Salvador,SLV,Mexico,MEX
12635,2005,Rwanda,RWA,Greece,GRC
13519,2005,Romania,ROU,Poland,POL
11365,2005,Viet Nam,VNM,Argentina,ARG
12357,2005,Cote d'Ivoire,CIV,Gambia,GMB
12612,2005,Bangladesh,BGD,Greece,GRC
11658,2005,Azerbaijan,AZE,Belarus,BLR
11881,2005,Saudi Arabia,SAU,Canada,CAN
13970,2005,Eritrea,ERI,Syrian Arab Rep.,SYR
11668,2005,Russian Federation,RUS,Bolivia (Plurinational State of),BOL
14076,2005,Bosnia and Herzegovina,BIH,Ukraine,UKR
11479,2005,Congo,COG,Austria,AUT
12359,2005,Senegal,SEN,Gambia,GMB
17278,2006,Jamaica,JAM,United States of America,USA
16623,2006,Angola,AGO,Portugal,PRT
17222,2006,Bolivia (Plurinational State of),BOL,United States of America,USA
17341,2006,Slovenia,SVN,United States of America,USA
17095,2006,Sudan,SDN,Thailand,THA
15936,2006,Sudan,SDN,Israel,ISR
14412,2006,Palestinian,PSE,Australia,AUS
17260,2006,Guinea-Bissau,GNB,United States of America,USA
16610,2006,Sierra Leone,SLE,Poland,POL
16253,2006,Bhutan,BTN,Nepal,NPL
15904,2006,Serbia and Kosovo: S/RES/1244 (1999),SRB,Ireland,IRL
17178,2006,Lebanon,LBN,Ukraine,UKR
15604,2006,Pakistan,PAK,Germany,DEU
16799,2006,Pakistan,PAK,Spain,ESP
15408,2006,Bosnia and Herzegovina,BIH,United Kingdom of Great Britain and Northern Ireland,GBR
16223,2006,Afghanistan,AFG,Malta,MLT
15457,2006,Nigeria,NGA,United Kingdom of Great Britain and Northern Ireland,GBR
15700,2006,Rwanda,RWA,Greece,GRC
14874,2006,Mali,MLI,Canada,CAN
17138,2006,Uzbekistan,UZB,Turkey,TUR
15200,2006,Djibouti,DJI,Ethiopia,ETH
16414,2006,Cambodia,KHM,Norway,NOR
14658,2006,Myanmar,MMR,Bangladesh,BGD
14948,2006,Togo,TGO,Central African Rep.,CAF
