,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO)
50095,2016,Serbia and Kosovo: S/RES/1244 (1999),SRB,Denmark,DNK
51729,2016,Congo,COG,Norway,NOR
50403,2016,Cameroon,CMR,United Kingdom of Great Britain and Northern Ireland,GBR
49796,2016,Somalia,SOM,Canada,CAN
50972,2016,Montenegro,MNE,Ireland,IRL
50986,2016,Sudan,SDN,Ireland,IRL
49156,2016,Albania,ALB,Argentina,ARG
50928,2016,Burundi,BDI,Ireland,IRL
52510,2016,Pakistan,PAK,Switzerland,CHE
52936,2016,Syrian Arab Rep.,SYR,Venezuela (Bolivarian Republic of),VEN
49800,2016,Sudan,SDN,Canada,CAN
51923,2016,Iraq,IRQ,Philippines,PHL
51674,2016,Chad,TCD,Niger,NER
56654,2017,Kyrgyzstan,KGZ,Turkey,TUR
53445,2017,Iran (Islamic Rep. of),IRN,Belarus,BLR
55803,2017,Stateless,XXA,Nauru,NRU
54171,2017,Rwanda,RWA,Finland,FIN
54135,2017,Central African Rep.,CAF,Finland,FIN
56174,2017,Liberia,LBR,Senegal,SEN
55922,2017,China,CHN,Philippines,PHL
56499,2017,North Macedonia,MKD,Switzerland,CHE
55518,2017,Uganda,UGA,Mozambique,MOZ
53836,2017,South Sudan,SSD,Dem. Rep. of the Congo,COD
54424,2017,Qatar,QAT,United Kingdom of Great Britain and Northern Ireland,GBR
55063,2017,Lebanon,LBN,Italy,ITA
56616,2017,Jamaica,JAM,Trinidad and Tobago,TTO
53601,2017,Chad,TCD,Canada,CAN
56853,2017,Latvia,LVA,United States of America,USA
55515,2017,Rwanda,RWA,Mozambique,MOZ
54804,2017,Lebanon,LBN,Hungary,HUN
56186,2017,Sudan,SDN,Somalia,SOM
53332,2017,Bangladesh,BGD,Belgium,BEL
56851,2017,Sri Lanka,LKA,United States of America,USA
54783,2017,Angola,AGO,Hungary,HUN
55415,2017,Cuba,CUB,Mexico,MEX
53288,2017,Somalia,SOM,Austria,AUT
55482,2017,Zimbabwe,ZWE,Malaysia,MYS
53406,2017,Turkmenistan,TKM,Belgium,BEL
55298,2017,Russian Federation,RUS,Lithuania,LTU
56774,2017,Belgium,BEL,United States of America,USA
54438,2017,Sudan,SDN,United Kingdom of Great Britain and Northern Ireland,GBR
54989,2017,Palestinian,PSE,Iraq,IRQ
53940,2017,Georgia,GEO,Czechia,CZE
53561,2017,Mali,MLI,Bulgaria,BGR
53974,2017,Uzbekistan,UZB,Czechia,CZE
55201,2017,Liberia,LBR,Rep. of Korea,KOR
55121,2017,Egypt,EGY,Jordan,JOR
54345,2017,Benin,BEN,United Kingdom of Great Britain and Northern Ireland,GBR
53007,2017,Togo,TGO,Algeria,DZA
53650,2017,Rep. of Korea,KOR,Canada,CAN
56561,2017,Somalia,SOM,Syrian Arab Rep.,SYR
55700,2017,Guinea,GIN,Nigeria,NGA
56877,2017,Oman,OMN,United States of America,USA
53742,2017,Sudan,SDN,Central African Rep.,CAF
55545,2017,Serbia and Kosovo: S/RES/1244 (1999),SRB,Malta,MLT
54928,2017,Guinea,GIN,Ireland,IRL
53803,2017,Liberia,LBR,Cameroon,CMR
55965,2017,Eritrea,ERI,Poland,POL
56586,2017,Pakistan,PAK,Thailand,THA
53905,2017,Kyrgyzstan,KGZ,Cyprus,CYP
53595,2017,Brazil,BRA,Canada,CAN
56426,2017,United Rep. of Tanzania,TZA,Sweden,SWE
54693,2017,Rep. of Moldova,MDA,Greece,GRC
53985,2017,Bhutan,BTN,Denmark,DNK
55693,2017,Congo,COG,Nigeria,NGA
54770,2017,Nigeria,NGA,Croatia,HRV
56361,2017,France,FRA,Sweden,SWE
54671,2017,Dominican Rep.,DOM,Greece,GRC
53572,2017,Pakistan,PAK,Cambodia,KHM
53087,2017,Kazakhstan,KAZ,Argentina,ARG
56954,2017,Ethiopia,ETH,Yemen,YEM
56784,2017,Bulgaria,BGR,United States of America,USA
53706,2017,Suriname,SUR,Canada,CAN
56698,2017,Rwanda,RWA,Uganda,UGA
55856,2017,Myanmar,MMR,Pakistan,PAK
55791,2017,Indonesia,IDN,Nauru,NRU
55562,2017,Serbia and Kosovo: S/RES/1244 (1999),SRB,Montenegro,MNE
55293,2017,Iran (Islamic Rep. of),IRN,Lithuania,LTU
53198,2017,Singapore,SGP,Australia,AUS
53548,2017,Afghanistan,AFG,Bulgaria,BGR
54612,2017,Uzbekistan,UZB,Germany,DEU
54992,2017,Sudan,SDN,Iraq,IRQ
56897,2017,Somalia,SOM,United States of America,USA
56720,2017,Guinea,GIN,Ukraine,UKR
56679,2017,Stateless,XXA,Turkey,TUR
55222,2017,Somalia,SOM,Kuwait,KWT
53846,2017,Hungary,HUN,Colombia,COL
54958,2017,Pakistan,PAK,Ireland,IRL
55229,2017,Syrian Arab Rep.,SYR,Liberia,LBR
54318,2017,Dem. Rep. of the Congo,COD,Gabon,GAB
56539,2017,Western Sahara,ESH,Switzerland,CHE
55604,2017,Dem. Rep. of the Congo,COD,Netherlands,NLD
56420,2017,Somalia,SOM,Sweden,SWE
53829,2017,Congo,COG,Dem. Rep. of the Congo,COD
55990,2017,Turkmenistan,TKM,Poland,POL
54967,2017,Sudan,SDN,Ireland,IRL
53460,2017,Russian Federation,RUS,Bolivia (Plurinational State of),BOL
54900,2017,Yemen,YEM,Indonesia,IDN
60332,2018,Uganda,UGA,Spain,ESP
58513,2018,Armenia,ARM,Germany,DEU
59578,2018,Senegal,SEN,Morocco,MAR
61077,2018,Sierra Leone,SLE,Zambia,ZMB
57839,2018,Mauritania,MRT,Cameroon,CMR
57087,2018,Georgia,GEO,Argentina,ARG
59367,2018,Azerbaijan,AZE,Luxembourg,LUX
58326,2018,Slovakia,SVK,France,FRA
57625,2018,Central African Rep.,CAF,Canada,CAN
59777,2018,Cameroon,CMR,Nigeria,NGA
58243,2018,Comoros,COM,France,FRA
59096,2018,Gambia,GMB,Italy,ITA
58899,2018,Stateless,XXA,Iceland,ISL
59813,2018,Ethiopia,ETH,Norway,NOR
59475,2018,Eritrea,ERI,Mexico,MEX
58367,2018,Armenia,ARM,United Kingdom of Great Britain and Northern Ireland,GBR
60456,2018,Gambia,GMB,Sweden,SWE
58850,2018,Iraq,IRQ,Hungary,HUN
60793,2018,Chad,TCD,Uganda,UGA
60892,2018,Cambodia,KHM,United States of America,USA
57920,2018,Yemen,YEM,Cuba,CUB
57971,2018,Cuba,CUB,Czechia,CZE
57312,2018,Tunisia,TUN,Austria,AUT
58268,2018,Hungary,HUN,France,FRA
59873,2018,Sri Lanka,LKA,Nauru,NRU
58666,2018,Lebanon,LBN,Ghana,GHA
57263,2018,Ghana,GHA,Austria,AUT
59951,2018,Iran (Islamic Rep. of),IRN,Panama,PAN
58802,2018,Venezuela (Bolivarian Republic of),VEN,Honduras,HND
57986,2018,Myanmar,MMR,Czechia,CZE
58895,2018,Syrian Arab Rep.,SYR,Iceland,ISL
59453,2018,Iraq,IRQ,Rep. of Moldova,MDA
57256,2018,Dem. Rep. of the Congo,COD,Austria,AUT
58267,2018,Croatia,HRV,France,FRA
60770,2018,United Arab Emirates,ARE,Turkey,TUR
60903,2018,Colombia,COL,United States of America,USA
59513,2018,Rwanda,RWA,Mali,MLI
61093,2018,Colombia,COL,Curacao ,CUW
60499,2018,Peru,PER,Sweden,SWE
59434,2018,Nigeria,NGA,Mauritania,MRT
60323,2018,Serbia and Kosovo: S/RES/1244 (1999),SRB,Spain,ESP
60924,2018,Ghana,GHA,United States of America,USA
59023,2018,Togo,TGO,Ireland,IRL
57438,2018,Dem. Rep. of the Congo,COD,Benin,BEN
58301,2018,Myanmar,MMR,France,FRA
61091,2018,South Sudan,SSD,Zimbabwe,ZWE
59849,2018,Viet Nam,VNM,Norway,NOR
57449,2018,Colombia,COL,Bahamas,BHS
58641,2018,Turkey,TUR,Germany,DEU
60084,2018,Afghanistan,AFG,Portugal,PRT
58325,2018,South Sudan,SSD,France,FRA
58145,2018,Syrian Arab Rep.,SYR,Ethiopia,ETH
58844,2018,Georgia,GEO,Hungary,HUN
57566,2018,Palestinian,PSE,Bosnia and Herzegovina,BIH
59982,2018,Gambia,GMB,Peru,PER
58843,2018,Palestinian,PSE,Hungary,HUN
59464,2018,Angola,AGO,Mexico,MEX
60211,2018,United States of America,USA,Russian Federation,RUS
58290,2018,North Macedonia,MKD,France,FRA
58864,2018,Sudan,SDN,Hungary,HUN
60298,2018,Guatemala,GTM,Spain,ESP
58422,2018,Kenya,KEN,United Kingdom of Great Britain and Northern Ireland,GBR
59500,2018,Ukraine,UKR,Mexico,MEX
57862,2018,Burundi,BDI,Dem. Rep. of the Congo,COD
57847,2018,Angola,AGO,Congo,COG
59638,2018,Ghana,GHA,Montenegro,MNE
60496,2018,Nicaragua,NIC,Sweden,SWE
60985,2018,Pakistan,PAK,United States of America,USA
58479,2018,Tunisia,TUN,United Kingdom of Great Britain and Northern Ireland,GBR
58540,2018,Cuba,CUB,Germany,DEU
58052,2018,Turkey,TUR,Denmark,DNK
59569,2018,Guinea,GIN,Morocco,MAR
60025,2018,Turkey,TUR,Philippines,PHL
60345,2018,Cameroon,CMR,Sudan,SDN
58105,2018,Viet Nam,VNM,Ecuador,ECU
58744,2018,Sierra Leone,SLE,Greece,GRC
57899,2018,India,IND,Costa Rica,CRI
58234,2018,Bulgaria,BGR,France,FRA
59621,2018,Serbia and Kosovo: S/RES/1244 (1999),SRB,Malta,MLT
60073,2018,Viet Nam,VNM,Poland,POL
57892,2018,Dem. Rep. of the Congo,COD,Costa Rica,CRI
57992,2018,Sierra Leone,SLE,Czechia,CZE
59507,2018,Congo,COG,Mali,MLI
57524,2018,Ghana,GHA,Brazil,BRA
60566,2018,Gambia,GMB,Switzerland,CHE
64965,2019,Somalia,SOM,Uganda,UGA
62668,2019,Gabon,GAB,Germany,DEU
62981,2019,Sudan,SDN,Hungary,HUN
63350,2019,Afghanistan,AFG,Kazakhstan,KAZ
64584,2019,Bosnia and Herzegovina,BIH,Slovenia,SVN
64757,2019,France,FRA,Switzerland,CHE
61183,2019,Chile,CHL,Argentina,ARG
61267,2019,Germany,DEU,Australia,AUS
61900,2019,Burundi,BDI,China,CHN
65091,2019,Greece,GRC,United States of America,USA
64849,2019,Sudan,SDN,Syrian Arab Rep.,SYR
63765,2019,Gambia,GMB,Malta,MLT
64770,2019,Iran (Islamic Rep. of),IRN,Switzerland,CHE
63018,2019,Venezuela (Bolivarian Republic of),VEN,Iceland,ISL
64401,2019,Burundi,BDI,Rwanda,RWA
64073,2019,Nepal,NPL,New Zealand,NZL
63981,2019,Guinea-Bissau,GNB,Norway,NOR
61574,2019,Rwanda,RWA,Burkina Faso,BFA
62959,2019,Cuba,CUB,Hungary,HUN
62061,2019,Syrian Arab Rep.,SYR,Cyprus,CYP
61468,2019,Congo,COG,Belgium,BEL
61706,2019,India,IND,Bulgaria,BGR
62336,2019,Azerbaijan,AZE,France,FRA
62219,2019,Uzbekistan,UZB,Ecuador,ECU
64735,2019,Burkina Faso,BFA,Switzerland,CHE
63955,2019,Togo,TGO,Nigeria,NGA
63237,2019,Guatemala,GTM,Italy,ITA
64842,2019,Libya,LBY,Syrian Arab Rep.,SYR
64637,2019,Comoros,COM,Sweden,SWE
63947,2019,Cote d'Ivoire,CIV,Nigeria,NGA
64159,2019,Burundi,BDI,Philippines,PHL
64218,2019,Kazakhstan,KAZ,Poland,POL
62698,2019,Lao People's Dem. Rep.,LAO,Germany,DEU
64214,2019,Georgia,GEO,Poland,POL
61363,2019,Eritrea,ERI,Austria,AUT
64231,2019,Senegal,SEN,Poland,POL
63145,2019,Pakistan,PAK,Ireland,IRL
64477,2019,Congo,COG,Spain,ESP
65073,2019,Djibouti,DJI,United States of America,USA
61976,2019,Bolivia (Plurinational State of),BOL,Colombia,COL
62121,2019,Cameroon,CMR,Denmark,DNK
62268,2019,Bangladesh,BGD,Finland,FIN
64687,2019,Nigeria,NGA,Sweden,SWE
63148,2019,Rwanda,RWA,Ireland,IRL
61464,2019,Chad,TCD,Belgium,BEL
62498,2019,Belize,BLZ,United Kingdom of Great Britain and Northern Ireland,GBR
61908,2019,Viet Nam,VNM,China,CHN
64650,2019,Ghana,GHA,Sweden,SWE
62597,2019,Turkey,TUR,United Kingdom of Great Britain and Northern Ireland,GBR
64380,2019,Cote d'Ivoire,CIV,Russian Federation,RUS
64676,2019,North Macedonia,MKD,Sweden,SWE
62502,2019,China,CHN,United Kingdom of Great Britain and Northern Ireland,GBR
64969,2019,United Rep. of Tanzania,TZA,Uganda,UGA
62453,2019,Venezuela (Bolivarian Republic of),VEN,France,FRA
61382,2019,Liberia,LBR,Austria,AUT
61671,2019,South Africa,ZAF,Brazil,BRA
64392,2019,Syrian Arab Rep.,SYR,Russian Federation,RUS
61444,2019,United Rep. of Tanzania,TZA,Burundi,BDI
63378,2019,Tajikistan,TJK,Kyrgyzstan,KGZ
61860,2019,Uzbekistan,UZB,Canada,CAN
61130,2019,Guinea,GIN,Angola,AGO
62422,2019,Paraguay,PRY,France,FRA
62805,2019,Angola,AGO,Greece,GRC
64361,2019,Eswatini,SWZ,South Africa,ZAF
63785,2019,Sierra Leone,SLE,Malta,MLT
62988,2019,Yemen,YEM,Hungary,HUN
65249,2019,Burundi,BDI,Zimbabwe,ZWE
61251,2019,Belarus,BLR,Australia,AUS
61395,2019,Nepal,NPL,Austria,AUT
62691,2019,Japan,JPN,Germany,DEU
64318,2019,Syrian Arab Rep.,SYR,Romania,ROU
61191,2019,Palestinian,PSE,Argentina,ARG
63070,2019,Ethiopia,ETH,Indonesia,IDN
61716,2019,Syrian Arab Rep.,SYR,Bulgaria,BGR
64787,2019,Rep. of Moldova,MDA,Switzerland,CHE
65247,2019,Turkey,TUR,Zambia,ZMB
65018,2019,Guatemala,GTM,Uruguay,URY
63532,2019,Russian Federation,RUS,Luxembourg,LUX
64094,2019,Palestinian,PSE,Pakistan,PAK
65235,2019,Congo,COG,Zambia,ZMB
63553,2019,Kyrgyzstan,KGZ,Latvia,LVA
63725,2019,Cameroon,CMR,Morocco,MAR
61168,2019,Tunisia,TUN,Egypt,EGY
64195,2019,Somalia,SOM,Papua New Guinea,PNG
64669,2019,Dem. People's Rep. of Korea,PRK,Sweden,SWE
67716,2020,Burundi,BDI,Madagascar,MDG
66174,2020,Haiti,HTI,Costa Rica,CRI
67765,2020,Yemen,YEM,Rep. of Moldova,MDA
66051,2020,Cuba,CUB,Cayman Islands,CYM
66086,2020,Afghanistan,AFG,Chile,CHL
65543,2020,Israel,ISR,Austria,AUT
65971,2020,Saint Lucia,LCA,Canada,CAN
69220,2020,Peru,PER,Uruguay,URY
68907,2020,Venezuela (Bolivarian Republic of),VEN,Sweden,SWE
68761,2020,Romania,ROU,Slovakia,SVK
66513,2020,Bahrain,BHR,France,FRA
65765,2020,Cuba,CUB,Bolivia (Plurinational State of),BOL
67613,2020,Yemen,YEM,Lebanon,LBN
66705,2020,Cote d'Ivoire,CIV,United Kingdom of Great Britain and Northern Ireland,GBR
68413,2020,Central African Rep.,CAF,Portugal,PRT
66976,2020,Uganda,UGA,Ghana,GHA
68788,2020,Syrian Arab Rep.,SYR,Slovenia,SVN
66791,2020,Iran (Islamic Rep. of),IRN,Georgia,GEO
68080,2020,Central African Rep.,CAF,Niger,NER
67764,2020,Uzbekistan,UZB,Rep. of Moldova,MDA
68959,2020,Israel,ISR,Switzerland,CHE
66850,2020,Ghana,GHA,Germany,DEU
65478,2020,Peru,PER,Australia,AUS
66156,2020,Ethiopia,ETH,Colombia,COL
66033,2020,Venezuela (Bolivarian Republic of),VEN,Canada,CAN
65757,2020,Libya,LBY,Belarus,BLR
66568,2020,Kenya,KEN,France,FRA
65974,2020,Lithuania,LTU,Canada,CAN
66581,2020,North Macedonia,MKD,France,FRA
67892,2020,Eritrea,ERI,Morocco,MAR
68256,2020,Iraq,IRQ,Oman,OMN
67952,2020,Sudan,SDN,Malta,MLT
65382,2020,Paraguay,PRY,Argentina,ARG
68793,2020,Burundi,BDI,Eswatini,SWZ
68280,2020,Guatemala,GTM,Panama,PAN
65485,2020,Saudi Arabia,SAU,Australia,AUS
65343,2020,Angola,AGO,Argentina,ARG
66738,2020,Namibia,NAM,United Kingdom of Great Britain and Northern Ireland,GBR
68062,2020,Sudan,SDN,Netherlands,NLD
68572,2020,Stateless,XXA,Russian Federation,RUS
67272,2020,Eritrea,ERI,Indonesia,IDN
68421,2020,Gambia,GMB,Portugal,PRT
66874,2020,Dem. People's Rep. of Korea,PRK,Germany,DEU
68592,2020,Iraq,IRQ,Saudi Arabia,SAU
68117,2020,Cote d'Ivoire,CIV,Nigeria,NGA
66019,2020,United Rep. of Tanzania,TZA,Canada,CAN
66395,2020,Venezuela (Bolivarian Republic of),VEN,Ecuador,ECU
66742,2020,Nicaragua,NIC,United Kingdom of Great Britain and Northern Ireland,GBR
68702,2020,Sudan,SDN,Spain,ESP
65807,2020,Dominican Rep.,DOM,Brazil,BRA
66312,2020,Kyrgyzstan,KGZ,Denmark,DNK
67025,2020,Lebanon,LBN,Greece,GRC
66459,2020,Guatemala,GTM,Finland,FIN
65522,2020,Belarus,BLR,Austria,AUT
65361,2020,Ghana,GHA,Argentina,ARG
69361,2020,Singapore,SGP,United States of America,USA
67485,2020,Sri Lanka,LKA,Japan,JPN
65784,2020,Sudan,SDN,Botswana,BWA
69433,2020,Liberia,LBR,Zambia,ZMB
65801,2020,Chile,CHL,Brazil,BRA
69313,2020,Liberia,LBR,United States of America,USA
67865,2020,Sierra Leone,SLE,Malaysia,MYS
67087,2020,Cuba,CUB,Guyana,GUY
67388,2020,Belarus,BLR,Israel,ISR
68200,2020,Iraq,IRQ,Nauru,NRU
66940,2020,United Arab Emirates,ARE,Germany,DEU
69355,2020,Russian Federation,RUS,United States of America,USA
66757,2020,Seychelles,SYC,United Kingdom of Great Britain and Northern Ireland,GBR
67325,2020,Israel,ISR,Ireland,IRL
66457,2020,Georgia,GEO,Finland,FIN
65596,2020,Palestinian,PSE,Azerbaijan,AZE
69427,2020,Cameroon,CMR,Zambia,ZMB
66078,2020,Iraq,IRQ,China,CHN
65710,2020,Venezuela (Bolivarian Republic of),VEN,Belgium,BEL
67800,2020,Kyrgyzstan,KGZ,Mexico,MEX
68874,2020,Niger,NER,Sweden,SWE
69165,2020,Yemen,YEM,Uganda,UGA
66142,2020,Eritrea,ERI,Dem. Rep. of the Congo,COD
65530,2020,Eritrea,ERI,Austria,AUT
68491,2020,Angola,AGO,South Africa,ZAF
68586,2020,Nicaragua,NIC,El Salvador,SLV
69293,2020,Honduras,HND,United States of America,USA
69309,2020,Rep. of Korea,KOR,United States of America,USA
67178,2020,Yemen,YEM,Hungary,HUN
68278,2020,Cuba,CUB,Panama,PAN
71557,2021,Kazakhstan,KAZ,Ireland,IRL
73315,2021,Sierra Leone,SLE,Switzerland,CHE
71933,2021,Afghanistan,AFG,Luxembourg,LUX
71016,2021,Lebanon,LBN,Georgia,GEO
71735,2021,Pakistan,PAK,Jordan,JOR
69464,2021,Uzbekistan,UZB,Albania,ALB
70055,2021,Turkey,TUR,Brazil,BRA
70370,2021,Bolivia (Plurinational State of),BOL,Colombia,COL
71247,2021,Libya,LBY,Greece,GRC
73456,2021,Ethiopia,ETH,United Arab Emirates,ARE
71315,2021,Central African Rep.,CAF,"China, Hong Kong SAR",HKG
71296,2021,Congo,COG,Guinea,GIN
72193,2021,Iraq,IRQ,Morocco,MAR
72191,2021,Guinea,GIN,Morocco,MAR
72133,2021,Central African Rep.,CAF,Malaysia,MYS
71823,2021,Nigeria,NGA,Rep. of Korea,KOR
72938,2021,Bangladesh,BGD,Somalia,SOM
71439,2021,Tajikistan,TJK,Iceland,ISL
72299,2021,Burundi,BDI,Netherlands,NLD
71218,2021,Chad,TCD,Greece,GRC
72425,2021,Syrian Arab Rep.,SYR,Nigeria,NGA
72082,2021,Cote d'Ivoire,CIV,Mexico,MEX
73488,2021,United Rep. of Tanzania,TZA,Uganda,UGA
72646,2021,Somalia,SOM,Philippines,PHL
69495,2021,Liberia,LBR,Angola,AGO
73326,2021,Tunisia,TUN,Switzerland,CHE
71982,2021,Iraq,IRQ,Latvia,LVA
69879,2021,Nicaragua,NIC,Belgium,BEL
70597,2021,Nicaragua,NIC,Ecuador,ECU
70506,2021,Afghanistan,AFG,Denmark,DNK
70115,2021,Burkina Faso,BFA,Canada,CAN
69869,2021,Lithuania,LTU,Belgium,BEL
71464,2021,Nigeria,NGA,Cote d'Ivoire,CIV
73122,2021,Zimbabwe,ZWE,Eswatini,SWZ
69925,2021,Somalia,SOM,Bangladesh,BGD
73244,2021,Central African Rep.,CAF,Switzerland,CHE
69953,2021,Tajikistan,TJK,Belarus,BLR
73201,2021,Rwanda,RWA,Sweden,SWE
73350,2021,Sierra Leone,SLE,Syrian Arab Rep.,SYR
72033,2021,Iraq,IRQ,Monaco,MCO
71821,2021,Myanmar,MMR,Rep. of Korea,KOR
73069,2021,Burundi,BDI,Slovakia,SVK
72612,2021,Haiti,HTI,Peru,PER
72960,2021,Central African Rep.,CAF,Spain,ESP
71017,2021,Pakistan,PAK,Georgia,GEO
71534,2021,Botswana,BWA,Ireland,IRL
70783,2021,Iraq,IRQ,France,FRA
73705,2021,Trinidad and Tobago,TTO,United States of America,USA
71675,2021,Cote d'Ivoire,CIV,Italy,ITA
73131,2021,Burundi,BDI,Sweden,SWE
72323,2021,Cote d'Ivoire,CIV,Netherlands,NLD
71826,2021,Somalia,SOM,Rep. of Korea,KOR
70902,2021,Dem. Rep. of the Congo,COD,United Kingdom of Great Britain and Northern Ireland,GBR
69771,2021,Somalia,SOM,Austria,AUT
72260,2021,Bosnia and Herzegovina,BIH,Montenegro,MNE
70343,2021,Central African Rep.,CAF,Congo,COG
71135,2021,Russian Federation,RUS,Germany,DEU
73079,2021,Iraq,IRQ,Slovakia,SVK
73002,2021,Morocco,MAR,Spain,ESP
72580,2021,Croatia,HRV,Panama,PAN
71001,2021,Uzbekistan,UZB,United Kingdom of Great Britain and Northern Ireland,GBR
69653,2021,Rep. of Korea,KOR,Australia,AUS
73503,2021,Palestinian,PSE,Ukraine,UKR
69488,2021,Chad,TCD,Angola,AGO
69834,2021,Colombia,COL,Belgium,BEL
70453,2021,Serbia and Kosovo: S/RES/1244 (1999),SRB,Cyprus,CYP
69476,2021,Iraq,IRQ,Algeria,DZA
72914,2021,Croatia,HRV,Serbia and Kosovo: S/RES/1244 (1999),SRB
69614,2021,Azerbaijan,AZE,Australia,AUS
69662,2021,Mexico,MEX,Australia,AUS
72741,2021,Sudan,SDN,Portugal,PRT
73660,2021,Mauritius,MUS,United States of America,USA
70949,2021,North Macedonia,MKD,United Kingdom of Great Britain and Northern Ireland,GBR
72870,2021,Philippines,PHL,Russian Federation,RUS
69693,2021,Tonga,TON,Australia,AUS
70878,2021,Angola,AGO,United Kingdom of Great Britain and Northern Ireland,GBR
70789,2021,Kyrgyzstan,KGZ,France,FRA
72834,2021,Syrian Arab Rep.,SYR,South Africa,ZAF
73604,2021,Gambia,GMB,United States of America,USA
72240,2021,Morocco,MAR,Malta,MLT
70888,2021,Bangladesh,BGD,United Kingdom of Great Britain and Northern Ireland,GBR
70384,2021,Somalia,SOM,Colombia,COL
71782,2021,Somalia,SOM,Kenya,KEN
71808,2021,Ghana,GHA,Rep. of Korea,KOR
70151,2021,Georgia,GEO,Canada,CAN
